Job,Workcenter,Hours Remaining,Due date
204150,405ASSY,17.23,4/22/2024
204149,405ASSY,13.42,4/11/2024
FSC80W0003-F,405ASSY,12,4/18/2024
204441,405ASSY,11.7,4/30/2024
203638,405ASSY,8.83,5/13/2024
204883,405ASSY,7.5,5/30/2024
204838,405ASSY,3,4/18/2024
FSC80W0003,405ASSY,3,4/25/2024
203645,405ASSY,1.5,4/23/2024
204326,405ASSY,1.5,4/23/2024
204798,405ASSY,1.5,4/16/2024
200571,405ASSY,1.25,4/30/2024
200572,405ASSY,1.25,4/30/2024
204631,405ASSY,1.25,5/8/2024
200564,405ASSY,0.5,4/26/2024
200566,405ASSY,0.5,4/23/2024
201856,405ASSY,0.5,4/17/2024
203634,405ASSY,0.5,4/30/2024
203635,405ASSY,0.5,5/1/2024
204327,405ASSY,0.5,4/16/2024
204632,405ASSY,0.5,4/30/2024
204769,405ASSY,0.5,4/26/2024
204771,405ASSY,0.5,4/30/2024
204862,405ASSY,0.5,4/16/2024
204534-03,405ASSY,0.42,4/26/2024
204096,405ASSY,0,4/9/2024
204113,405ASSY,0,4/12/2024
204173,405ASSY,0,4/24/2024
204349,405ASSY,0,5/2/2024
204523,405ASSY,0,5/7/2024
204096-06,405ASSY,0,4/9/2024
204441-97,405CONTROL,12,4/26/2024
204348,405CONTROL,0,4/10/2024
204460,405CONTROL,0,4/10/2024
204831,405FAB,2.92,4/18/2024
204113,405FAB,0,4/12/2024
204664,405FAB,0,4/26/2024
204724,405FAB,0,5/1/2024
IL0424,405IL,0,4/29/2024
IL0424,405IL,0,4/29/2024
IL0424,405IL,0,4/29/2024
IL0424,405IL,0,4/29/2024
IL0424,405IL,0,4/29/2024
IL0424,405IL,0,4/29/2024
IL0424,405IL,0,4/29/2024
199970,405INSPECT,0,4/25/2024
199971,405INSPECT,0,4/29/2024
200212,405INSPECT,0,4/10/2024
200213,405INSPECT,0,4/10/2024
200564,405INSPECT,0,4/29/2024
200566,405INSPECT,0,4/23/2024
200571,405INSPECT,0,5/1/2024
200572,405INSPECT,0,5/1/2024
201856,405INSPECT,0,4/17/2024
203634,405INSPECT,0,5/1/2024
203635,405INSPECT,0,5/2/2024
203645,405INSPECT,0,4/24/2024
204326,405INSPECT,0,4/23/2024
204327,405INSPECT,0,4/17/2024
204631,405INSPECT,0,5/8/2024
204632,405INSPECT,0,4/30/2024
204769,405INSPECT,0,4/29/2024
204771,405INSPECT,0,5/1/2024
204832,405INSPECT,0,4/24/2024
204096-05,405INSPECT,0,4/9/2024
203943-01,405MATLHAN,0,4/9/2024
203943-02,405MATLHAN,0,4/9/2024
204113,405PAINT,16,4/17/2024
FSC80W0003,405PAINT,8,4/29/2024
204724,405PAINT,7,5/3/2024
204424-01,405PAINT,6.5,4/15/2024
204471,405PAINT,1.9,4/9/2024
204150,405PAINT,0.5,4/24/2024
204441-01,405PAINT,0.5,4/26/2024
204441-03B,405PAINT,0.5,-
204441-03D,405PAINT,0.5,-
204441-03H,405PAINT,0.5,-
204441-03N,405PAINT,0.5,-
204441-03S,405PAINT,0.5,-
204441-08,405PAINT,0.5,-
204441-03C,405PAINT,0.33,-
204441-03V,405PAINT,0.33,-
204441-02B,405PAINT,0.25,-
204441-02C,405PAINT,0.25,-
204441-02E,405PAINT,0.25,-
204441-02H,405PAINT,0.25,-
204441-02J,405PAINT,0.25,-
204441-02L,405PAINT,0.25,-
204441-02M,405PAINT,0.25,-
204441-03A,405PAINT,0.25,-
204441-03E,405PAINT,0.25,-
204441-03J,405PAINT,0.25,-
204441-03K,405PAINT,0.25,-
204441-03T,405PAINT,0.25,-
204441-03U,405PAINT,0.25,-
204441-03Y,405PAINT,0.25,-
204441-06,405PAINT,0.25,4/25/2024
204441-03Q,405PAINT,0.17,-
204441-03W,405PAINT,0.17,-
204441,405PAINT,0.07,5/1/2024
199970,405PAINT,0,4/25/2024
199971,405PAINT,0,4/22/2024
204149,405PAINT,0,4/12/2024
204173,405PAINT,0,4/26/2024
204424,405PAINT,0,-
204664,405PAINT,0,4/23/2024
204441-03F,405PAINT,0,-
