Job,Workcenter,Hours Remaining ,Due Date
190372,FAB,0.13,26-Jun-24
190372,PEPFAR,0,27-Jun-24
190540,ASSEMBLE,150,8-Aug-24
190540,CONTROLS,150,6-Sep-24
190540,MATLHAND,51,8-Jul-24
190540,CONTROLPRG,0,21-Jun-24
190540,CONTROLS,0,21-Jun-24
190540,SHIP,0,8-Jul-24
191109,SHIP,0,24-Jun-24
199955,405PAINT,0,18-Jul-24
199955,405SHIP,0,18-Jul-24
203319,FAB,0,21-Jun-24
204310,FAB,0,26-Jun-24
204310,PEPFAR,0,27-Jun-24
204310,PEPFAR,0,27-Jun-24
204310,PEPFAR,0,27-Jun-24
204315,FAB,0,24-Jun-24
204348,405CONTROL,0,26-Jun-24
204348,ENG-DESIGN,0,27-Jun-24
204486,405UBT,16,3-Jul-24
204740,CONTROLS,8,2-Jul-24
204740,CONTROLS,6,8-Jul-24
204740,405SHIP,0,9-Jul-24
204740,FAB,0,27-Jun-24
204838,SHIP,0,27-Jun-24
204846,ASSEMBLE,94,18-Jul-24
204846,MATLHAND,4,25-Jun-24
204846,PAINT,2,24-Jun-24
204846,CONTROLPRG,0,18-Jul-24
204916,ASSEMBLE,30,1-Jul-24
204916,ASSEMBLE,3.42,24-Jun-24
204916,CONTROLENG,0.63,1-Jul-24
204916,CONTROLS,0,1-Jul-24
204933,MAZAK300C,47.4,16-Jul-24
204933,INSPECT,0,17-Jul-24
204933,MAZAK450,0,27-Jun-24
204976,MVB25,30.4,3-Jul-24
204976,FAB,5,25-Jun-24
204976,PAINT,0.87,8-Jul-24
204976,INSPECT,0.05,3-Jul-24
205108,405PAINT,0,26-Jun-24
205108,405SHIP,0,27-Jun-24
205145,ASSEMBLE,40,2-Jul-24
205168,405ASSY,2,25-Jun-24
205168,405PAINT,0,26-Jun-24
205168,405SHIP,0,1-Jul-24
205170,ENGINEER,0,28-Jun-24
205172,INSPECT,1,24-Jun-24
205172,PAINT,0.75,25-Jun-24
205172,SHIP,0,26-Jun-24
205173,CONTROLS,0,25-Jun-24
205174,MATLHAND,1.25,24-Jun-24
205174,SHIP,0,24-Jun-24
205176,INSPECT,0.5,24-Jun-24
205176,PAINT,0.42,25-Jun-24
205176,INSPECT,0.17,26-Jun-24
205176,SHIP,0,27-Jun-24
205177,PAINT,0.83,25-Jun-24
205177,INSPECT,0.75,24-Jun-24
205177,SHIP,0,26-Jun-24
205188,SHIP,0,27-Jun-24
205213,MATLHAND,1.25,2-Aug-24
205213,FAB,0.75,31-Jul-24
205213,PAINT,0.75,30-Jul-24
205213,PAINT,0.5,-
205213,INSPECT,0.25,1-Aug-24
205213,SHIP,0,5-Aug-24
205214,VERMACH,12,9-Jul-24
205214,VERMACH,2,10-Jul-24
205214,MAZAK300C,0,10-Jul-24
205214,SHIP,0,10-Jul-24
205225,FAB,0,24-Jun-24
205251,FAB,25.3,2-Jul-24
205251,PAINT,6,2-Aug-24
205251,SHIP,0,5-Aug-24
205252,PAINT,3,23-Jul-24
205252,SHIP,0,24-Jul-24
205272,ASSEMBLE,7.5,9-Jul-24
205272,MATLHAND,4,10-Jul-24
205273,SHIP,0,22-Jul-24
205274,FAB,20,26-Aug-24
205274,INSPECT,0.5,27-Aug-24
205274,SHIP,0,28-Aug-24
205340,ASSEMBLE,0,27-Jun-24
205340,MATLHAND,0,-
205340,PEPFAR,0,-
205340,PEPFAR,0,-
205340,PEPFAR,0,-
205365,MATLHAND,2,27-Jun-24
205365,INSPECT,0.75,26-Jun-24
205365,SHIP,0,27-Jun-24
205366,INSPECT,0.5,26-Jun-24
205366,MATLHAND,0.25,27-Jun-24
205366,SHIP,0,27-Jun-24
205367,PAINT,1,-
205367,INSPECT,0.5,25-Jun-24
205367,ROTOBLAST,0.3,24-Jun-24
205367,SHIP,0,26-Jun-24
205368,INSPECT,0.75,27-Jun-24
205368,INSPECT,0.25,24-Jun-24
205368,PAINT,0,-
205368,SHIP,0,2-Jul-24
205369,INSPECT,0.2,24-Jun-24
205369,SHIP,0,26-Jun-24
205479,INSPECT,0.2,24-Jun-24
205479,INSPECT,0.2,2-Jul-24
205485,FAB,0,21-Jun-24
205496,BBE,0,31-Jul-24
205496,SHIP,0,31-Jul-24
205497,405FAB,0,30-Jul-24
205497,FAB,0,25-Jul-24
205497,MATLHAND,0,31-Jul-24
205497,PAINT,0,30-Jul-24
205498,405UBT,0,31-Jul-24
205499,405SHIP,0,31-Jul-24
205499,MATLHAND,0,-
205500,BBE,0,31-Jul-24
205517,405ASSY,8.83,16-Aug-24
205517,405SHIP,0,19-Aug-24
205519,FAB,2.48,16-Jul-24
205519,405ASSY,1,22-Jul-24
205519,INSPECT,0.25,17-Jul-24
205519,405INSPECT,0,23-Jul-24
205520,FAB,4.59,15-Jul-24
205520,405ASSY,0.5,22-Jul-24
205520,INSPECT,0.25,17-Jul-24
205520,405INSPECT,0,22-Jul-24
205548,SHIP,0,24-Jun-24
205549,SHIP,0,24-Jun-24
205550,405ASSY,0,27-Jun-24
205550,405CONTROL,0,1-Jul-24
205550,405SHIP,0,2-Jul-24
205550,TESTING,0,-
