,,,,,
,,,,,
,Search by,    Job,Workcenter,,
,,,,,
,,JOB,FUTURE WC,HRS REMAINING,END
,,190372,FAB,0.13,6/26/2024
,,190372,PEPFAR,0,6/27/2024
,,190540,ASSEMBLE,150,6/13/2024
,,190540,CONTROLS,150,7/12/2024
,,190540,MATLHAND,51,5/14/2024
,,190540,CONTROLPRG,0,5/3/2024
,,190540,CONTROLS,0,5/3/2024
,,190540,SHIP,0,5/15/2024
,,191109,SHIP,0,5/3/2024
,,199955,405SHIP,0,5/6/2024
,,199970,405INSPECT,0,5/6/2024
,,199970,405PAINT,0,5/3/2024
,,199971,405INSPECT,0,5/13/2024
,,199971,405PAINT,0,5/3/2024
,,201758,CONTROLS,10,3/15/2024
,,201758,ROTOBLAST,2,5/3/2024
,,201758,PAINT,1.47,5/6/2024
,,201758,SAW,0,5/7/2024
,,202894,ASSEMBLE,50,5/17/2024
,,202894,ASSEMBLE,19.87,5/8/2024
,,202894,SHIP,0,5/8/2024
,,203319,FAB,0,5/30/2024
,,203638,405ASSY,0,5/8/2024
,,203638,405SHIP,0,5/10/2024
,,203716,ASSEMBLE,0,5/3/2024
,,203716,HMC6800,0,5/3/2024
,,203936,MATLHAND,1.33,5/6/2024
,,203936,INSPECT,1,5/3/2024
,,203936,SHIP,0,5/6/2024
,,203937,MATLHAND,1.33,5/6/2024
,,203937,INSPECT,1.25,5/3/2024
,,203937,SHIP,0,5/6/2024
,,203938,INSPECT,0.15,5/3/2024
,,203938,SHIP,0,5/6/2024
,,203939,MATLHAND,0.25,5/6/2024
,,203939,SHIP,0,5/9/2024
,,203940,INSPECT,1,5/3/2024
,,203940,MATLHAND,0.5,5/6/2024
,,203940,SHIP,0,5/6/2024
,,203941,INSPECT,0.75,5/3/2024
,,203941,MATLHAND,0.75,5/6/2024
,,203941,SHIP,0,5/6/2024
,,203943,405SHIP,0,5/6/2024
,,203994,HMC6800,11,5/8/2024
,,203994,MAZAK700D,0.43,5/10/2024
,,203994,INSPECT,0.01,5/10/2024
,,203994,SAW,0.01,5/10/2024
,,203994,INSPECT,0,5/9/2024
,,203994,PRGRM MACH,0,5/3/2024
,,204140,CONTROLS,10,5/15/2024
,,204140,FAB,8,5/10/2024
,,204140,PAINT,4,5/16/2024
,,204217,405SHIP,0,5/6/2024
,,204222,405SHIP,0,5/6/2024
,,204255,SHIP,0.01,5/7/2024
,,204255,405SHIP,0,5/8/2024
,,204255,ENG-CHECK,0,5/6/2024
,,204292,SHIP,0,5/3/2024
,,204301,FAB,30,5/16/2024
,,204301,CONTROLS,8,5/21/2024
,,204301,CONTROLS,8,5/22/2024
,,204301,PAINT,4,5/23/2024
,,204302,PAINT,2,5/3/2024
,,204302,405TRANSFR,0,5/6/2024
,,204310,FAB,0,5/6/2024
,,204310,PEPFAR,0,5/7/2024
,,204310,PEPFAR,0,5/7/2024
,,204310,PEPFAR,0,5/8/2024
,,204313,FAB,0,5/3/2024
,,204315,FAB,0,5/3/2024
,,204348,405CONTROL,0,5/3/2024
,,204348,ENG-DESIGN,0,5/3/2024
,,204349,405ASSY,0,5/3/2024
,,204350,ENGINEER,0,5/3/2024
,,204350,ENGINEER,0,5/3/2024
,,204352,INSPECT,0,5/3/2024
,,204361,FAB,50,5/16/2024
,,204361,PAINT,9.25,5/23/2024
,,204361,CONTROLS,8,5/20/2024
,,204361,CONTROLS,6,5/21/2024
,,204380,SHOPPROJ,0,5/3/2024
,,204432,SHIP,0.01,5/7/2024
,,204437,FAB,0.5,5/3/2024
,,204440,SHIP,0,5/3/2024
,,204446,INSPECT,0.1,5/6/2024
,,204446,SHIP,0,5/7/2024
,,204447,SHIP,0,5/7/2024
,,204448,SHIP,0,5/7/2024
,,204449,INSPECT,1.5,5/13/2024
,,204449,MATLHAND,1.5,5/14/2024
,,204449,SHIP,0,5/14/2024
,,204470,PAINT,1,5/3/2024
,,204470,405TRANSFR,0,5/6/2024
,,204471,405PAINT,1.9,5/9/2024
,,204486,405UBT,16,5/7/2024
,,204491,PAINT,6,5/8/2024
,,204491,FAB,0,5/6/2024
,,204494,SHIP,0.01,5/10/2024
,,204497,SHIP,0,5/10/2024
,,204559,FAB,0.9,5/3/2024
,,204559,INSPECT,0.05,5/7/2024
,,204609,INSPECT,0.02,5/6/2024
,,204632,405ASSY,0.5,5/10/2024
,,204632,405INSPECT,0,5/10/2024
,,204633,405INSPECT,0,5/8/2024
,,204634,FAB,2.75,5/6/2024
,,204634,405ASSY,0.5,5/10/2024
,,204634,INSPECT,0.3,5/7/2024
,,204634,405INSPECT,0,5/13/2024
,,204636,FAB,5.25,5/6/2024
,,204636,405ASSY,0.5,5/10/2024
,,204636,405INSPECT,0,5/13/2024
,,204636,INSPECT,0,5/7/2024
,,204637,FAB,20.68,5/22/2024
,,204637,405ASSY,8.83,5/31/2024
,,204637,INSPECT,0.45,5/24/2024
,,204637,405SHIP,0,6/4/2024
,,204638,405ASSY,0.63,5/10/2024
,,204638,405INSPECT,0,5/13/2024
,,204673,PAINT,3,5/3/2024
,,204673,INSPECT,0.2,5/6/2024
,,204674,PAINT,1,5/3/2024
,,204674,INSPECT,0.2,5/6/2024
,,204675,FAB,6.22,5/6/2024
,,204675,PAINT,4,5/8/2024
,,204677,INSPECT,0.05,5/3/2024
,,204677,405TRANSFR,0,5/7/2024
,,204678,FAB,16,5/7/2024
,,204730,PAINT,0.6,5/6/2024
,,204730,INSPECT,0.1,5/3/2024
,,204739,FAB,0,5/3/2024
,,204747,MAZAK250,2,5/7/2024
,,204747,INSPECT,1,5/7/2024
,,204747,PRGRM MACH,0.25,5/3/2024
,,204748,MAZAK450,2.5,5/6/2024
,,204748,INSPECT,0.5,5/7/2024
,,204748,PRGRM MACH,0.5,5/3/2024
,,204749,INSPECT,0.2,5/9/2024
,,204749,PAINT,0,5/8/2024
,,204765,405UBT,7.5,5/7/2024
,,204765,405UBT,7.25,5/6/2024
,,204771,405ASSY,0,5/8/2024
,,204771,405INSPECT,0,5/9/2024
,,204772,FAB,20.68,5/21/2024
,,204772,405ASSY,8.83,5/30/2024
,,204772,INSPECT,0.45,5/23/2024
,,204772,405SHIP,0,6/3/2024
,,204773,405ASSY,1.25,5/20/2024
,,204773,405INSPECT,0,5/21/2024
,,204774,405ASSY,0.5,5/10/2024
,,204774,405INSPECT,0,5/13/2024
,,204774,INSPECT,0,5/7/2024
,,204776,405ASSY,0,5/8/2024
,,204776,405INSPECT,0,5/9/2024
,,204778,FAB,20.68,5/17/2024
,,204778,405ASSY,8.83,5/24/2024
,,204778,INSPECT,0.45,5/20/2024
,,204778,405SHIP,0,5/29/2024
,,204779,FAB,4.7,5/6/2024
,,204779,405ASSY,0.5,5/10/2024
,,204779,INSPECT,0.3,5/7/2024
,,204779,405INSPECT,0,5/13/2024
,,204785,FAB,11.35,5/17/2024
,,204785,405ASSY,1.5,5/24/2024
,,204785,INSPECT,0.4,5/21/2024
,,204785,405INSPECT,0,5/28/2024
,,204786,FAB,14.05,5/9/2024
,,204786,405ASSY,3,5/16/2024
,,204786,INSPECT,0.3,5/10/2024
,,204786,405INSPECT,0,5/16/2024
,,204791,HMC6800,3,5/14/2024
,,204791,FAB,2,5/6/2024
,,204791,PRGRM MACH,0.33,5/10/2024
,,204791,INSPECT,0.25,5/7/2024
,,204791,INSPECT,0.25,5/15/2024
,,204791,FAB,0,5/9/2024
,,204800,MATLHAND,9,5/6/2024
,,204802,PAINT,1.25,5/3/2024
,,204818,SHIP,0,6/13/2024
,,204819,SHIP,0.01,6/12/2024
,,204838,SHIP,0,5/3/2024
,,204840,SHIP,0,5/3/2024
,,204840,SHIP,0,5/3/2024
,,204845,ASSEMBLE,0,5/3/2024
,,204859,FAB,13.63,5/14/2024
,,204859,PAINT,3.75,5/16/2024
,,204859,INSPECT,0.2,5/17/2024
,,204860,FAB,7.22,5/14/2024
,,204860,PAINT,4,5/16/2024
,,204872,TRANSFER,0,5/3/2024
,,204878,FAB,12.42,5/24/2024
,,204878,FAB,3.26,5/8/2024
,,204878,MAZAK450,1.68,5/22/2024
,,204878,PAINT,1,5/28/2024
,,204881,PAINT,7.87,6/7/2024
,,204881,FAB,3.53,6/4/2024
,,204882,405TRANSFR,0,5/6/2024
,,204885,405ASSY,32,5/28/2024
,,204885,405INSPECT,0,5/29/2024
,,204885,405TRANSFR,0,5/29/2024
,,204885,TESTING,0,5/29/2024
,,204886,INSPECT,0.75,5/6/2024
,,204886,MATLHAND,0.75,5/7/2024
,,204888,CONTROLS,4,5/6/2024
,,204888,ASSEMBLE,2.8,5/6/2024
,,204888,INSPECT,0,5/7/2024
,,204898,FAB,12.55,5/9/2024
,,204898,SHIP,0,5/10/2024
,,204905,PAINT,0.42,5/7/2024
,,204905,INSPECT,0.2,5/6/2024
,,204905,FAB,0,5/3/2024
,,204916,ASSEMBLE,36.5,5/10/2024
,,204916,ASSEMBLE,3.42,5/3/2024
,,204916,CONTROLENG,0.63,5/13/2024
,,204916,CONTROLS,0,5/13/2024
,,204932,FAB,0,5/6/2024
,,204932,SAW,0,5/3/2024
,,204933,MAZAK450,83.33,5/21/2024
,,204933,MAZAK300C,60,6/5/2024
,,204933,INSPECT,0,6/5/2024
,,204933,PRGRM MACH,0,5/22/2024
,,204934,MAZAK250,16,5/6/2024
,,204934,HMC6800,7.4,5/9/2024
,,204934,INSPECT,0.8,5/10/2024
,,204934,PRGRM MACH,0.6,5/7/2024
,,204937,PAINT,2.33,5/7/2024
,,204937,FAB,1.75,5/6/2024
,,204937,SHIP,0,5/8/2024
,,204938,PAINT,2.33,5/7/2024
,,204938,FAB,1.75,5/6/2024
,,204938,SHIP,0,5/8/2024
,,204940,FAB,0.5,5/14/2024
,,204940,INSPECT,0.5,5/16/2024
